month,Code,year,temp_anom,month_idx
January,,2000,-0.38930702,1
February,,2000,-0.13648033,2
March,,2000,-0.218503,3
April,,2000,-0.08273029,4
May,,2000,-0.2207241,5
June,,2000,-0.24404716,6
July,,2000,-0.23849487,7
August,,2000,-0.1753006,8
September,,2000,-0.23873329,9
October,,2000,-0.39593697,10
November,,2000,-0.34655,11
December,,2000,-0.34228897,12
January,,2001,-0.22950554,1
February,,2001,-0.28274632,2
March,,2001,-0.15909576,3
April,,2001,-0.15341854,4
May,,2001,-0.045884132,5
June,,2001,-0.11108303,6
July,,2001,-0.021224976,7
August,,2001,-0.051208496,8
September,,2001,-0.07816315,9
October,,2001,-0.1062994,10
November,,2001,0.09959221,11
December,,2001,0.03004837,12
January,,2002,0.09550476,1
February,,2002,-0.008111,2
March,,2002,0.19105911,3
April,,2002,-0.063630104,4
May,,2002,0.07986641,5
June,,2002,0.023076057,6
July,,2002,0.033216476,7
August,,2002,-0.04685974,8
September,,2002,0.005221367,9
October,,2002,-0.08117771,10
November,,2002,-0.054730415,11
December,,2002,-0.12224579,12
January,,2003,0.10677719,1
February,,2003,-0.08749771,2
March,,2003,-0.165946,3
April,,2003,-0.12009716,4
May,,2003,-0.013793945,5
June,,2003,-0.13892269,6
July,,2003,-0.047971725,7
August,,2003,0.04565239,8
September,,2003,0.07381439,9
October,,2003,0.10379219,10
November,,2003,-0.037448883,11
December,,2003,0.17725945,12
January,,2004,-0.041529655,1
February,,2004,0.027044296,2
March,,2004,-0.011122704,3
April,,2004,-0.014400482,4
May,,2004,-0.21040058,5
June,,2004,-0.093503,6
July,,2004,-0.27657986,7
August,,2004,-0.1618433,8
September,,2004,-0.040070534,9
October,,2004,0.006457329,10
November,,2004,0.07111359,11
December,,2004,-0.09579277,12
January,,2005,0.14779186,1
February,,2005,0.005999565,2
March,,2005,0.08854675,3
April,,2005,0.07043171,4
May,,2005,0.06947231,5
June,,2005,0.07637882,6
July,,2005,0.0845871,7
August,,2005,0.02933693,8
September,,2005,0.12966347,9
October,,2005,0.17159939,10
November,,2005,0.13140392,11
December,,2005,0.101005554,12
January,,2006,-0.043540955,1
February,,2006,0.08938789,2
March,,2006,-0.0113630295,3
April,,2006,-0.069927216,4
May,,2006,-0.071824074,5
June,,2006,0.08110142,6
July,,2006,0.002565384,7
August,,2006,0.07070732,8
September,,2006,0.04808998,9
October,,2006,0.13767147,10
November,,2006,0.101026535,11
December,,2006,0.19520187,12
January,,2007,0.3634863,1
February,,2007,0.087981224,2
March,,2007,0.0007753372,3
April,,2007,0.17370224,4
May,,2007,0.083758354,5
June,,2007,-0.023880005,6
July,,2007,0.005584717,7
August,,2007,-0.019002914,8
September,,2007,-0.089821815,9
October,,2007,-0.014292717,10
November,,2007,-0.038754463,11
December,,2007,-0.089328766,12
January,,2008,-0.32778263,1
February,,2008,-0.3207674,2
March,,2008,0.01885128,3
April,,2008,-0.126688,4
May,,2008,-0.10529041,5
June,,2008,-0.19847584,6
July,,2008,-0.024209976,7
August,,2008,-0.07928467,8
September,,2008,-0.030119896,9
October,,2008,0.036865234,10
November,,2008,0.051452637,11
December,,2008,-0.044015884,12
January,,2009,0.060009003,1
February,,2009,-0.03472042,2
March,,2009,-0.12113476,3
April,,2009,-0.060088158,4
May,,2009,-0.0041503906,5
June,,2009,0.0043258667,6
July,,2009,0.13692093,7
August,,2009,0.04493332,8
September,,2009,0.103710175,9
October,,2009,0.07972717,10
November,,2009,0.1408701,11
December,,2009,0.06800461,12
January,,2010,0.19399834,1
February,,2010,0.2222147,2
March,,2010,0.26903343,3
April,,2010,0.25240517,4
May,,2010,0.19825745,5
June,,2010,0.086499214,6
July,,2010,0.051193237,7
August,,2010,0.045850754,8
September,,2010,0.099030495,9
October,,2010,0.11609554,10
November,,2010,0.13377762,11
December,,2010,-0.10175991,12
January,,2011,-0.09012127,1
February,,2011,-0.17595196,2
March,,2011,-0.058506966,3
April,,2011,0.0136089325,4
May,,2011,-0.04186535,5
June,,2011,0.020365715,6
July,,2011,0.14229965,7
August,,2011,0.11047745,8
September,,2011,0.047351837,9
October,,2011,0.029310226,10
November,,2011,-0.09462643,11
December,,2011,-0.038053513,12
January,,2012,-0.16522503,1
February,,2012,-0.17896175,2
March,,2012,-0.13613796,3
April,,2012,0.054305077,4
May,,2012,0.17339516,5
June,,2012,0.11935711,6
July,,2012,0.039503098,7
August,,2012,0.07608986,8
September,,2012,0.11289787,9
October,,2012,0.21889305,10
November,,2012,0.19594574,11
December,,2012,-0.03212452,12
January,,2013,0.1470747,1
February,,2013,0.015684128,2
March,,2013,0.023997307,3
April,,2013,-0.036406517,4
May,,2013,0.021333694,5
June,,2013,0.107367516,6
July,,2013,-0.02580452,7
August,,2013,0.054332733,8
September,,2013,0.16967964,9
October,,2013,0.051130295,10
November,,2013,0.14968967,11
December,,2013,0.1265173,12
January,,2014,0.12727833,1
February,,2014,-0.09574032,2
March,,2014,0.090714455,3
April,,2014,0.10949421,4
May,,2014,0.18322659,5
June,,2014,0.07204723,6
July,,2014,0.06496048,7
August,,2014,0.13554573,8
September,,2014,0.18443108,9
October,,2014,0.16329479,10
November,,2014,0.051153183,11
December,,2014,0.1880951,12
January,,2015,0.19281673,1
February,,2015,0.1987896,2
March,,2015,0.22872066,3
April,,2015,0.056487083,4
May,,2015,0.17647552,5
June,,2015,0.18616772,6
July,,2015,0.15289116,7
August,,2015,0.24180412,8
September,,2015,0.26686192,9
October,,2015,0.44097042,10
November,,2015,0.3858261,11
December,,2015,0.5391102,12
January,,2016,0.5513487,1
February,,2016,0.687727,2
March,,2016,0.6258745,3
April,,2016,0.5295439,4
May,,2016,0.41520023,5
June,,2016,0.26113796,6
July,,2016,0.3597374,7
August,,2016,0.4007702,8
September,,2016,0.35773182,9
October,,2016,0.34130383,10
November,,2016,0.40478706,11
December,,2016,0.3351717,12
January,,2017,0.40376282,1
February,,2017,0.49946213,2
March,,2017,0.49967194,3
April,,2017,0.32820606,4
May,,2017,0.37242413,5
June,,2017,0.2018156,6
July,,2017,0.2648201,7
August,,2017,0.295475,8
September,,2017,0.2795391,9
October,,2017,0.35907078,10
November,,2017,0.2479105,11
December,,2017,0.37153244,12
January,,2018,0.24097252,1
February,,2018,0.26255322,2
March,,2018,0.27320385,3
April,,2018,0.3051052,4
May,,2018,0.25171375,5
June,,2018,0.22495174,6
July,,2018,0.2775383,7
August,,2018,0.20798874,8
September,,2018,0.1994009,9
October,,2018,0.3543272,10
November,,2018,0.23819065,11
December,,2018,0.33067513,12
January,,2019,0.28461075,1
February,,2019,0.3083315,2
March,,2019,0.50817394,3
April,,2019,0.43720055,4
May,,2019,0.3566723,5
June,,2019,0.36853504,6
July,,2019,0.39609528,7
August,,2019,0.35555267,8
September,,2019,0.3787241,9
October,,2019,0.4528551,10
November,,2019,0.40484238,11
December,,2019,0.5391426,12
January,,2020,0.5814285,1
February,,2020,0.59908295,2
March,,2020,0.48763943,3
April,,2020,0.52027035,4
May,,2020,0.46582794,5
June,,2020,0.36007214,6
July,,2020,0.32448387,7
August,,2020,0.26625633,8
September,,2020,0.4334898,9
October,,2020,0.37566376,10
November,,2020,0.53706074,11
December,,2020,0.23468113,12
January,,2021,0.2434988,1
February,,2021,0.060156822,2
March,,2021,0.18951416,3
April,,2021,0.19053555,4
May,,2021,0.25726128,5
June,,2021,0.21241856,6
July,,2021,0.33000755,7
August,,2021,0.31062126,8
September,,2021,0.40136528,9
October,,2021,0.42101574,10
November,,2021,0.34596062,11
December,,2021,0.3219347,12
January,,2022,0.2775402,1
February,,2022,0.22964668,2
March,,2022,0.3939638,3
April,,2022,0.2832718,4
May,,2022,0.25571442,5
June,,2022,0.3078394,6
July,,2022,0.37657928,7
August,,2022,0.2952137,8
September,,2022,0.3493948,9
October,,2022,0.40864563,10
November,,2022,0.16215515,11
December,,2022,0.2704115,12
January,,2023,0.24682045,1
February,,2023,0.29254246,2
March,,2023,0.5115061,3
April,,2023,0.3205328,4
May,,2023,0.39521217,5
June,,2023,0.531106,6
July,,2023,0.72343063,7
August,,2023,0.7090626,8
September,,2023,0.9306059,9
October,,2023,0.8495197,10
November,,2023,0.8537445,11
December,,2023,0.8447113,12
